Name:     Description:
mooncrst  "Moon Cresta (Nichibutsu)"
mooncrsg  "Moon Cresta (Gremlin)"
smooncrs  "Super Moon Cresta"
mooncrsb  "Moon Cresta (bootleg set 1)"
mooncrs2  "Moon Cresta (bootleg set 2)"
fantazia  "Fantazia"
eagle     "Eagle (set 1)"
eagle2    "Eagle (set 2)"
moonqsr   "Moon Quasar"
checkman  "Checkman"
checkmaj  "Checkman (Japan)"
blkhole   "Black Hole"
moonal2   "Moon Alien Part 2"
moonal2b  "Moon Alien Part 2 (older version)"
kingball  "King & Balloon (US)"
kingbalj  "King & Balloon (Japan)"
scramble  "Scramble"
scrambls  "Scramble (Stern)"
scramblb  "Scramble (bootleg on Galaxian hardware)"
atlantis  "Battle of Atlantis (set 1)"
atlants2  "Battle of Atlantis (set 2)"
theend    "End, The"
theends   "End, The (Stern)"
ckongs    "Crazy Kong (Scramble hardware)"
froggers  "Frog"
amidars   "Amidar (Scramble hardware)"
triplep   "Triple Punch"
knockout  "Knock Out !!"
mariner   "Mariner"
800fath   "800 Fathoms"
mars      "Mars"
devilfsh  "Devil Fish"
newsin7   "New Sinbad 7"
hotshock  "Hot Shocker"
hunchbks  "Hunchback (Scramble hardware)"
cavelon   "Cavelon"
scobra    "Super Cobra"
scobras   "Super Cobra (Stern)"
scobrab   "Super Cobra (bootleg)"
stratgyx  "Strategy X"
stratgys  "Strategy X (Stern)"
armorcar  "Armored Car (set 1)"
armorca2  "Armored Car (set 2)"
moonwar   "Moon War (set 1)"
moonwara  "Moon War (set 2)"
spdcoin   "Speed Coin (prototype)"
darkplnt  "Dark Planet"
tazmania  "Tazz-Mania (Scramble hardware)"
tazmani2  "Tazz-Mania (Strategy X hardware)"
calipso   "Calipso"
anteater  "Anteater"
rescue    "Rescue"
minefld   "Minefield"
losttomb  "Lost Tomb (easy)"
losttmbh  "Lost Tomb (hard)"
superbon  "Super Bond"
hustler   "Video Hustler"
billiard  "Billiards, The"
hustlerb  "Video Hustler (bootleg)"
frogger   "Frogger"
frogseg1  "Frogger (Sega set 1)"
frogseg2  "Frogger (Sega set 2)"
froggrmc  "Frogger (modified Moon Cresta hardware)"
amidar    "Amidar"
amidaru   "Amidar (Stern)"
amidaro   "Amidar (Olympia)"
amigo     "Amigo"
turtles   "Turtles"
turpin    "Turpin"
600       "600"
flyboy    "Fly-Boy"
flyboyb   "Fly-Boy (bootleg)"
fastfred  "Fast Freddie"
jumpcoas  "Jump Coaster"
cclimber  "Crazy Climber (US)"
cclimbrj  "Crazy Climber (Japan)"
ccboot    "Crazy Climber (bootleg set 1)"
ccboot2   "Crazy Climber (bootleg set 2)"
ckong     "Crazy Kong (set 1)"
ckonga    "Crazy Kong (set 2)"
ckongjeu  "Crazy Kong (Jeutel bootleg)"
ckongo    "Crazy Kong (Orca bootleg)"
ckongalc  "Crazy Kong (Alca bootleg)"
monkeyd   "Monkey Donkey"
rpatrolb  "River Patrol (bootleg)"
silvland  "Silver Land"
yamato    "Yamato (set 1)"
yamato2   "Yamato (set 2)"
swimmer   "Swimmer (set 1)"
swimmera  "Swimmer (set 2)"
guzzler   "Guzzler"
friskyt   "Frisky Tom"
radrad    "Radical Radial"
seicross  "Seicross"
sectrzon  "Sector Zone"
wiping    "Wiping"
rugrats   "Rug Rats"
magmax    "Mag Max"
cop01     "Cop 01 (set 1)"
cop01a    "Cop 01 (set 2)"
terracre  "Terra Cresta (YM3526 set 1)"
terracrb  "Terra Cresta (YM3526 set 2)"
terracra  "Terra Cresta (YM2203)"
galivan   "Galivan - Cosmo Police (12/16/1985)"
galivan2  "Galivan - Cosmo Police (12/11/1985)"
dangar    "Dangar - Ufo Robo (12/1/1986)"
dangar2   "Dangar - Ufo Robo (9/26/1986)"
dangarb   "Dangar - Ufo Robo (bootleg)"
ninjemak  "Ninja Emaki (US)"
youma     "Youma Ninpou Chou (Japan)"
terraf    "Terra Force"
terrafu   "Terra Force (US)"
kodure    "Kodure Ookami (Japan)"
armedf    "Armed Formation"
cclimbr2  "Crazy Climber 2 (Japan)"
hyhoo     "Taisen Quiz HYHOO (Japan)"
hyhoo2    "Taisen Quiz HYHOO 2 (Japan)"
pastelgl  "Pastel Gal (Japan)"
mjsikaku  "Mahjong Sikaku (Japan set 1)"
mjsikakb  "Mahjong Sikaku (Japan set 2)"
otonano   "Otona no Mahjong (Japan)"
mjcamera  "Mahjong Camera Kozou (Japan)"
secolove  "Second Love (Japan)"
citylove  "City Love (Japan)"
seiha     "Seiha (Japan)"
seiham    "Seiha [BET] (Japan)"
iemoto    "Iemoto (Japan)"
ojousan   "Ojousan (Japan)"
bijokkoy  "Bijokko Yume Monogatari (Japan)"
bijokkog  "Bijokko Gakuen (Japan)"
housemnq  "House Mannequin (Japan)"
housemn2  "House Mannequin Roppongi Live hen (Japan)"
kaguya    "Mahjong Kaguyahime [BET] (Japan)"
crystal2  "Crystal Gal 2 (Japan)"
apparel   "Apparel Night (Japan)"
hanamomo  "Mahjong Hana no Momoko gumi (Japan)"
msjiken   "Mahjong Satsujin Jiken (Japan)"
telmahjn  "Telephone Mahjong (Japan)"
gionbana  "Gionbana (Japan)"
mgmen89   "Mahjong G-MEN'89 (Japan)"
mjfocus   "Mahjong Focus (Japan)"
mjfocusm  "Mahjong Focus [BET] (Japan)"
peepshow  "Nozokimeguri Mahjong Peep Show (Japan)"
scandal   "Scandal Mahjong (Japan)"
scandalm  "Scandal Mahjong [BET] (Japan)"
mjnanpas  "Mahjong Nanpa Story (Japan)"
mjnanpaa  "Mahjong Nanpa Story (Japan old version)"
bananadr  "Mahjong Banana Dream [BET] (Japan)"
club90s   "Mahjong CLUB 90's (Japan)"
mladyhtr  "Mahjong THE LADY HUNTER (Japan)"
chinmoku  "Mahjong Chinmoku no Hentai (Japan)"
maiko     "Maikobana (Japan)"
hanaoji   "Hana to Ojisan [BET]"
pstadium  "Mahjong Panic Stadium (Japan)"
triplew1  "Mahjong Triple Wars (Japan)"
triplew2  "Mahjong Triple Wars 2 (Japan)"
ntopstar  "Mahjong Nerae! Top Star (Japan)"
mjlstory  "Mahjong Jikken Love Story (Japan)"
vanilla   "Mahjong Vanilla Syndrome (Japan)"
finalbny  "Mahjong Final Bunny [BET] (Japan)"
qmhayaku  "Quiz-Mahjong Hayaku Yatteyo! (Japan)"
galkoku   "Mahjong Gal no Kokuhaku (Japan)"
hyouban   "Mahjong Hyouban Musume [BET] (Japan)"
galkaika  "Mahjong Gal no Kaika (Japan)"
tokyogal  "Tokyo Gal Zukan (Japan)"
tokimbsj  "Tokimeki Bishoujo [BET] (Japan)"
mcontest  "Miss Mahjong Contest (Japan)"
av2mj1    "AV2Mahjong No.1 Bay Bridge no Seijo"
mjuraden  "Mahjong Uranai Densetsu (Japan)"
koinomp   "Mahjong Koi no Magic Potion (Japan)"
patimono  "Mahjong Pachinko Monogatari (Japan)"
mjanbari  "Medal Mahjong Janjan Baribari [BET] (Japan)"
gal10ren  "Mahjong Gal 10-renpatsu (Japan)"
mjlaman   "Mahjong La Man (Japan)"
mkeibaou  "Mahjong Keibaou (Japan)"
pachiten  "Medal Mahjong Pachi-Slot Tengoku [BET] (Japan)"
sailorws  "Mahjong Sailor Wars (Japan)"
sailorwr  "Mahjong Sailor Wars-R [BET] (Japan)"
psailor1  "Bishoujo Janshi Pretty Sailor 18-kin (Japan)"
psailor2  "Bishoujo Janshi Pretty Sailor 2 (Japan)"
otatidai  "Disco Mahjong Otachidai no Okite (Japan)"
ngpgal    "Nekketsu Grand-Prix Gal (Japan)"
mjgottsu  "Mahjong Gottsu ee-kanji (Japan)"
bakuhatu  "Mahjong Bakuhatsu Junjouden (Japan)"
cmehyou   "Mahjong Circuit no Mehyou (Japan)"
mmehyou   "Medal Mahjong Circuit no Mehyou [BET] (Japan)"
mjkoiura  "Mahjong Koi Uranai (Japan)"
imekura   "Imekura Mahjong (Japan)"
mscoutm   "Mahjong Scout Man (Japan)"
mjegolf   "Mahjong Erotica Golf (Japan)"
niyanpai  "Niyanpai (Japan)"
safarir   "Safari Rally"
phoenix   "Phoenix (Amstar)"
phoenixa  "Phoenix (Centuri)"
phoenixt  "Phoenix (Taito)"
phoenix3  "Phoenix (T.P.N.)"
phoenixc  "Phoenix (IRECSA, G.G.I Corp)"
pleiads   "Pleiads (Tehkan)"
pleiadbl  "Pleiads (bootleg)"
pleiadce  "Pleiads (Centuri)"
naughtyb  "Naughty Boy"
naughtya  "Naughty Boy (bootleg)"
naughtyc  "Naughty Boy (Cinematronics)"
popflame  "Pop Flamer (set 1)"
popflama  "Pop Flamer (set 2)"
geebee    "Gee Bee"
geebeeg   "Gee Bee (Gremlin)"
bombbee   "Bomb Bee"
cutieq    "Cutie Q"
navalone  "Navalone"
kaitei    "Kaitei Takara Sagashi"
kaitein   "Kaitei Takara Sagashi (Namco)"
sos       "SOS"
tankbatt  "Tank Battalion"
warpwarp  "Warp & Warp"
warpwarr  "Warp Warp (Rock-ola set 1)"
warpwar2  "Warp Warp (Rock-ola set 2)"
rallyx    "Rally X"
rallyxm   "Rally X (Midway)"
nrallyx   "New Rally X"
jungler   "Jungler"
junglers  "Jungler (Stern)"
locomotn  "Loco-Motion"
gutangtn  "Guttang Gottong"
cottong   "Cotocoto Cottong"
commsega  "Commando (Sega)"
bosco     "Bosconian (new version)"
boscoo    "Bosconian (old version)"
boscoo2   "Bosconian (older version)"
boscomd   "Bosconian (Midway, new version)"
boscomdo  "Bosconian (Midway, old version)"
galaga    "Galaga (Namco)"
galagamw  "Galaga (Midway)"
galagads  "Galaga (fast shoot)"
gallag    "Gallag"
galagab2  "Galaga (bootleg)"
galaga84  "Galaga '84"
nebulbee  "Nebulous Bee"
digdug    "Dig Dug (set 1)"
digdugb   "Dig Dug (set 2)"
digdugat  "Dig Dug (Atari)"
dzigzag   "Zig Zag (Dig Dug hardware)"
xevious   "Xevious (Namco)"
xeviousa  "Xevious (Atari)"
xevios    "Xevios"
sxevious  "Super Xevious"
superpac  "Super Pac-Man"
superpcm  "Super Pac-Man (Midway)"
pacnpal   "Pac & Pal"
pacnpal2  "Pac & Pal (older)"
pacnchmp  "Pac-Man & Chomp Chomp"
phozon    "Phozon"
mappy     "Mappy (US)"
mappyjp   "Mappy (Japan)"
digdug2   "Dig Dug II (set 1)"
digdug2a  "Dig Dug II (set 2)"
todruaga  "Tower of Druaga (set 1)"
todruagb  "Tower of Druaga (set 2)"
motos     "Motos"
grobda    "Grobda (New version)"
grobda2   "Grobda (Old version set 1)"
grobda3   "Grobda (Old version set 2)"
gaplus    "Gaplus (set 1)"
gaplusa   "Gaplus (set 2)"
galaga3   "Galaga 3 (set 1)"
galaga3a  "Galaga 3 (set 2)"
galaga3b  "Galaga 3 (set 3)"
liblrabl  "Libble Rabble"
toypop    "Toypop"
polepos   "Pole Position"
poleposa  "Pole Position (Atari version 2)"
polepos1  "Pole Position (Atari version 1)"
topracer  "Top Racer"
polepos2  "Pole Position II"
poleps2a  "Pole Position II (Atari)"
poleps2b  "Pole Position II (Atari bootleg 1)"
poleps2c  "Pole Position II (Atari bootleg 2)"
pacland   "Pac-Land (set 1)"
pacland2  "Pac-Land (set 2)"
pacland3  "Pac-Land (set 3)"
paclandm  "Pac-Land (Midway)"
drgnbstr  "Dragon Buster"
skykid    "Sky Kid (set 1)"
skykidb   "Sky Kid (set 2)"
baraduke  "Baraduke"
metrocrs  "Metro-Cross"
hopmappy  "Hopping Mappy"
skykiddx  "Sky Kid Deluxe (set 1)"
skykiddo  "Sky Kid Deluxe (set 2)"
roishtar  "Return of Ishtar, The"
genpeitd  "Genpei ToumaDen"
rthunder  "Rolling Thunder (new version)"
rthundro  "Rolling Thunder (old version)"
wndrmomo  "Wonder Momo"
shadowld  "Shadow Land"
youkaidk  "Yokai Douchuuki (Japan new version)"
yokaidko  "Yokai Douchuuki (Japan old version)"
dspirit   "Dragon Spirit (new version)"
dspirito  "Dragon Spirit (old version)"
blazer    "Blazer (Japan)"
quester   "Quester (Japan)"
pacmania  "Pac-Mania"
pacmanij  "Pac-Mania (Japan)"
galaga88  "Galaga '88 (set 1)"
galag88b  "Galaga '88 (set 2)"
galag88j  "Galaga '88 (Japan)"
ws        "World Stadium (Japan)"
berabohm  "Beraboh Man (Japan)"
mmaze     "Marchen Maze (Japan)"
wldcourt  "World Court (Japan)"
splatter  "Splatter House (Japan)"
faceoff   "Face Off (Japan)"
rompers   "Rompers (Japan)"
romperso  "Rompers (Japan old version)"
blastoff  "Blast Off (Japan)"
ws89      "World Stadium '89 (Japan)"
dangseed  "Dangerous Seed (Japan)"
ws90      "World Stadium '90 (Japan)"
pistoldm  "Pistol Daimyo no Bouken (Japan)"
boxyboy   "Boxy Boy (US)"
soukobdx  "Souko Ban Deluxe (Japan)"
puzlclub  "Puzzle Club (Japan prototype)"
tankfrce  "Tank Force (US)"
tankfrcj  "Tank Force (Japan)"
assault   "Assault"
assaultj  "Assault (Japan)"
assaultp  "Assault Plus (Japan)"
ordyne    "Ordyne (Japan)"
mirninja  "Mirai Ninja (Japan)"
phelios   "Phelios (Japan)"
valkyrie  "Valkyrie No Densetsu (Japan)"
finehour  "Finest Hour (Japan)"
burnforc  "Burning Force (Japan)"
marvland  "Marvel Land (US)"
marvlanj  "Marvel Land (Japan)"
kyukaidk  "Kyuukai Douchuuki (Japan new version)"
kyukaido  "Kyuukai Douchuuki (Japan old version)"
dsaber    "Dragon Saber"
dsaberj   "Dragon Saber (Japan)"
rthun2    "Rolling Thunder 2"
rthun2j   "Rolling Thunder 2 (Japan)"
cosmogng  "Cosmo Gang the Video (US)"
cosmognj  "Cosmo Gang the Video (Japan)"
sws92     "Super World Stadium '92 (Japan)"
sws92g    "Super World Stadium '92 Gekitouban (Japan)"
sws93     "Super World Stadium '93 (Japan)"
bkrtmaq   "Bakuretsu Quiz Ma-Q Dai Bouken (Japan)"
cgangpzl  "Cosmo Gang the Puzzle (Japan)"
exbania   "Exbania (Japan)"
knckhead  "Knuckle Heads (Japan)"
swcourt   "Super World Court (Japan)"
emeralda  "Emeraldia (Japan)"
quiztou   "Nettou! Gekitou! Quiztou!! (Japan)"
tinklpit  "Tinkle Pit (Japan)"
cosmicg   "Cosmic Guerilla"
cosmica   "Cosmic Alien"
cosmica2  "Cosmic Alien (older)"
panic     "Space Panic (set 1)"
panica    "Space Panic (set 2)"
panicger  "Space Panic (German)"
magspot2  "Magical Spot II"
devzone   "Devil Zone"
nomnlnd   "No Man's Land"
nomnlndg  "No Man's Land (Gottlieb)"
cheekyms  "Cheeky Mouse"
ladybug   "Lady Bug"
ladybugb  "Lady Bug (bootleg)"
snapjack  "Snap Jack"
cavenger  "Cosmic Avenger"
mrdo      "Mr. Do! (Universal)"
mrdot     "Mr. Do! (Taito)"
mrdofix   "Mr. Do! (bugfixed)"
mrlo      "Mr. Lo!"
mrdu      "Mr. Du!"
mrdoy     "Mr. Do! (Yukidaruma)"
yankeedo  "Yankee DO!"
docastle  "Mr. Do's Castle (set 1)"
docastl2  "Mr. Do's Castle (set 2)"
douni     "Mr. Do vs. Unicorns"
dorunrun  "Do! Run Run (set 1)"
dorunru2  "Do! Run Run (set 2)"
dorunruc  "Do! Run Run (Do's Castle hardware)"
spiero    "Super Pierrot (Japan)"
dowild    "Mr. Do's Wild Ride"
jjack     "Jumping Jack"
kickridr  "Kick Rider"
radarscp  "Radar Scope"
dkong     "Donkey Kong (US)"
dkongjp   "Donkey Kong (Japan set 1)"
dkongjpo  "Donkey Kong (Japan set 2)"
dkongjr   "Donkey Kong Junior (US)"
dkngjrjp  "Donkey Kong Jr. (Original Japanese)"
dkjrjp    "Donkey Kong Junior (Japan)"
dkjrbl    "Donkey Kong Junior (bootleg?)"
dkong3    "Donkey Kong 3 (US)"
dkong3j   "Donkey Kong 3 (Japan)"
mario     "Mario Bros. (US)"
mariojp   "Mario Bros. (Japan)"
masao     "Masao"
hunchbkd  "Hunchback (DK conversion)"
herbiedk  "Herbie at the Olympics (DK conversion)"
popeye    "Popeye (set 1)"
popeye2   "Popeye (set 2)"
popeyef   "Popeye (rev. F)"
popeyebl  "Popeye (bootleg)"
punchout  "Punch-Out!!"
spnchout  "Super Punch-Out!!"
spnchotj  "Super Punch-Out!! (Japan)"
armwrest  "Arm Wrestling"
pc_tenis  "PlayChoice-10: Tennis"
pc_mario  "PlayChoice-10: Mario Bros."
pc_bball  "PlayChoice-10: Baseball"
pc_bfght  "PlayChoice-10: Balloon Fight"
pc_ebike  "PlayChoice-10: Excite Bike"
pc_golf   "PlayChoice-10: Golf"
pc_kngfu  "PlayChoice-10: Kung Fu"
pc_1942   "PlayChoice-10: 1942"
pc_smb    "PlayChoice-10: Super Mario Bros."
pc_vball  "PlayChoice-10: Volley ball"
pc_duckh  "PlayChoice-10: Duck Hunt"
pc_hgaly  "PlayChoice-10: Hogan's Alley"
pc_wgnmn  "PlayChoice-10: Wild Gunman"
pc_grdus  "PlayChoice-10: Gradius"
pc_tkfld  "PlayChoice-10: Track & Field"
pc_pwrst  "PlayChoice-10: Pro Wrestling"
pc_trjan  "PlayChoice-10: Trojan"
pc_cvnia  "PlayChoice-10: Castlevania"
pc_dbldr  "PlayChoice-10: Double Dribble"
pc_rnatk  "PlayChoice-10: Rush N' Attack"
pc_rygar  "PlayChoice-10: Rygar"
pc_cntra  "PlayChoice-10: Contra"
pc_goons  "PlayChoice-10: The Goonies"
pc_mtoid  "PlayChoice-10: Metroid"
pc_radrc  "PlayChoice-10: Rad Racer"
pc_miket  "PlayChoice-10: Mike Tyson's Punchout"
pc_rcpam  "PlayChoice-10: RC Pro Am"
pc_ngaid  "PlayChoice-10: Ninja Gaiden"
pc_tmnt   "PlayChoice-10: Teenage Mutant Ninja Turtles"
pc_ftqst  "PlayChoice-10: Uncle Fester's Quest - The Addams Family"
pc_bstar  "PlayChoice-10: Baseball Stars"
pc_tbowl  "PlayChoice-10: Tecmo Bowl"
pc_drmro  "PlayChoice-10: Dr. Mario"
pc_ynoid  "PlayChoice-10: Yo! Noid"
pc_rrngr  "PlayChoice-10: Rescue Rangers"
pc_ddrgn  "PlayChoice-10: Double Dragon"
pc_gntlt  "PlayChoice-10: Gauntlet"
pc_smb2   "PlayChoice-10: Super Mario Bros. 2"
pc_smb3   "PlayChoice-10: Super Mario Bros. 3"
pc_mman3  "PlayChoice-10: Mega Man 3"
pc_radr2  "PlayChoice-10: Rad Racer II"
pc_suprc  "PlayChoice-10: Super C"
pc_tmnt2  "PlayChoice-10: Teenage mutant Ninja Turtles 2"
pc_wcup   "PlayChoice-10: Nintendo World Cup"
pc_ngai2  "PlayChoice-10: Ninja Gaiden 2"
pc_ngai3  "PlayChoice-10: Ninja Gaiden 3"
pc_pwbld  "PlayChoice-10: Power Blade"
pc_rkats  "PlayChoice-10: Rockin' Kats"
pc_cshwk  "PlayChoice-10: Captain Sky Hawk"
pc_sjetm  "PlayChoice-10: Solar Jetman"
pc_moglf  "PlayChoice-10: Mario Open Golf"
btlecity  "Battle City"
starlstr  "Star Luster"
cstlevna  "Vs. Castlevania"
cluclu    "Clu Clu Land"
drmario   "Dr. Mario"
duckhunt  "Duck Hunt"
excitebk  "Excitebike"
excitbkj  "Excitebike (Japan)"
goonies   "Vs. The Goonies"
hogalley  "Hogan's Alley"
iceclimb  "Ice Climber"
ladygolf  "Stroke and Match Golf (Ladies Version)"
machridr  "Mach Rider"
rbibb     "Atari RBI Baseball"
suprmrio  "Vs. Super Mario Bros"
vsskykid  "Super SkyKid"
tkoboxng  "Vs. TKO Boxing"
smgolf    "Stroke and Match Golf (Men's Version"
smgolfj   "Stroke and Match Golf (Japan)"
vspinbal  "Pinball"
vspinblj  "Pinball (Japan)"
vsslalom  "Vs. Slalom"
vssoccer  "Soccer"
vsgradus  "Vs. Gradius"
platoon   "Platoon"
vstetris  "Vs. Tetris"
vstennis  "Vs. Tennis"
wrecking  "Vs. Wrecking Crew"
balonfgt  "Vs. Baloon Fight"
vsmahjng  "Vs. Mahjang"
vsbball   "Vs. BaseBall"
vsbballj  "Vs. BaseBall (Japan set 1)"
vsbbalja  "Vs. BaseBall (Japan set 2)"
iceclmrj  "Ice Climber Dual (Japan)"
seawolf   "Sea Wolf"
gunfight  "Gun Fight"
tornbase  "Tornado Baseball"
280zzzap  "Datsun 280 Zzzap"
maze      "Amazing Maze"
boothill  "Boot Hill"
checkmat  "Checkmate"
desertgu  "Desert Gun"
dplay     "Double Play"
lagunar   "Laguna Racer"
gmissile  "Guided Missile"
m4        "M-4"
clowns    "Clowns"
einnings  "Extra Inning"
shuffle   "Shuffleboard"
dogpatch  "Dog Patch"
spcenctr  "Space Encounters"
phantom2  "Phantom II"
bowler    "4 Player Bowling Alley"
invaders  "Space Invaders"
blueshrk  "Blue Shark"
invad2ct  "Space Invaders II (Midway, cocktail)"
invadpt2  "Space Invaders Part II (Taito)"
invaddlx  "Space Invaders Deluxe"
moonbase  "Moon Base"
earthinv  "Super Earth Invasion"
spaceatt  "Space Attack II"
sinvzen   "Super Invaders (Zenitone-Microsec)"
superinv  "Super Invaders"
sinvemag  "Super Invaders (EMAG)"
jspecter  "Jatre Specter"
invrvnge  "Invader's Revenge"
invrvnga  "Invader's Revenge (Dutchford)"
galxwars  "Galaxy Wars"
starw     "Star Wars"
lrescue   "Lunar Rescue"
grescue   "Galaxy Rescue"
desterth  "Destination Earth"
cosmicmo  "Cosmic Monsters"
rollingc  "Rolling Crash / Moon Base"
sheriff   "Sheriff"
bandido   "Bandido"
ozmawars  "Ozma Wars"
solfight  "Solar Fight"
spaceph   "Space Phantoms"
schaser   "Space Chaser"
schasrcv  "Space Chaser (CV version)"
lupin3    "Lupin III"
helifire  "HeliFire (revision B)"
helifira  "HeliFire (revision A)"
spacefev  "Space Fever (color)"
sfeverbw  "Space Fever (black and white)"
spclaser  "Space Laser"
laser     "Laser"
spcewarl  "Space War (Leijac)"
polaris   "Polaris (set 1)"
polarisa  "Polaris (set 2)"
ballbomb  "Balloon Bomber"
m79amb    "M79 Ambush"
alieninv  "Alien Invasion Part II"
sitv      "Space Invaders (TV Version)"
sicv      "Space Invaders (CV Version)"
sisv      "Space Invaders (SV Version)"
sisv2     "Space Invaders (SV Version 2)"
spacewr3  "Space War Part 3"
invaderl  "Space Invaders (Logitec)"
yosakdon  "Yosaku To Donbee (bootleg)"
spceking  "Space King"
spcewars  "Space War (Sanritsu)"
astinvad  "Astro Invader"
kamikaze  "Kamikaze"
spaceint  "Space Intruder"
lazercmd  "Lazer Command"
bbonk     "Bigfoot Bonkers"
deadeye   "Dead Eye"
gypsyjug  "Gypsy Juggler"
medlanes  "Meadows Lanes"
cosmos    "Cosmos"
darkwar   "Dark Warrior"
8ball     "Video Eight Ball"
8ball1    "Video Eight Ball - Rev.1"
logger    "Logger"
dazzler   "Dazzler"
wallst    "Wall Street"
radarzon  "Radar Zone"
radarzn1  "Radar Zone - Rev.1"
radarznt  "Radar Zone - Tuni"
outline   "Outline"
goldbug   "Gold Bug"
heartatk  "Heart Attack"
hunchbak  "Hunchback"
superbik  "Superbike"
hero      "Hero"
huncholy  "Hunchback Olympic"
seawolf2  "Sea Wolf II"
spacezap  "Space Zap"
ebases    "Extra Bases"
wow       "Wizard of Wor"
gorf      "Gorf"
gorfpgm1  "Gorf (Program 1)"
robby     "Robby Roto"
solarfox  "Solar Fox"
kick      "Kick (upright)"
kicka     "Kick (cocktail)"
shollow   "Satan's Hollow (set 1)"
shollow2  "Satan's Hollow (set 2)"
tron      "Tron (set 1)"
tron2     "Tron (set 2)"
kroozr    "Kozmik Kroozr"
domino    "Domino Man"
wacko     "Wacko"
twotiger  "Two Tigers"
twotigra  "Two Tigers (dedicated)"
journey   "Journey"
tapper    "Tapper (Budweiser)"
tappera   "Tapper (alternate)"
sutapper  "Tapper (Suntory)"
rbtapper  "Tapper (Root Beer)"
timber    "Timber"
dotron    "Discs of Tron (Upright)"
dotrone   "Discs of Tron (Environmental)"
destderb  "Demolition Derby"
destderm  "Demolition Derby (2-Player Mono Board Version)"
sarge     "Sarge"
rampage   "Rampage (revision 3)"
rampage2  "Rampage (revision 2)"
powerdrv  "Power Drive"
maxrpm    "Max RPM"
spyhunt   "Spy Hunter"
turbotag  "Turbo Tag (prototype)"
crater    "Crater Raider"
zwackery  "Zwackery"
xenophob  "Xenophobe"
spyhunt2  "Spy Hunter 2 (rev 2)"
spyhnt2a  "Spy Hunter 2 (rev 1)"
blasted   "Blasted"
archrivl  "Arch Rivals (rev 4.0)"
archriv2  "Arch Rivals (rev 2.0)"
trisport  "Tri-Sports"
pigskin   "Pigskin 621AD"
sentetst  "Sente Diagnostic Cartridge"
cshift    "Chicken Shift"
gghost    "Goalie Ghost"
hattrick  "Hat Trick"
otwalls   "Off the Wall (Sente)"
snakepit  "Snake Pit"
snakjack  "Snacks'n Jaxson"
stocker   "Stocker"
triviag1  "Trivial Pursuit (Genus I)"
triviag2  "Trivial Pursuit (Genus II)"
triviasp  "Trivial Pursuit (All Star Sports Edition)"
triviayp  "Trivial Pursuit (Young Players Edition)"
triviabb  "Trivial Pursuit (Baby Boomer Edition)"
